dataset,model,accuracy,precision,recall,f1_score,auc
_deprecated_cleve,MLP,0.7377049180327869,0.6578947368421053,0.8928571428571429,0.7575757575757576,0.814935064935065
_deprecated_colic,MLP,0.7432432432432432,0.7258064516129032,0.9574468085106383,0.8256880733944955,0.7234042553191489
_deprecated_heart_c,MLP,0.8524590163934426,0.8529411764705882,0.8787878787878788,0.8656716417910447,0.9004329004329004
_deprecated_heart_h,MLP,0.7457627118644068,0.7346938775510204,0.9473684210526315,0.8275862068965517,0.7882205513784462
_deprecated_heart_statlog,MLP,0.7037037037037037,0.6052631578947368,0.9583333333333334,0.7419354838709677,0.8263888888888888
_deprecated_horse_colic,MLP,0.5945945945945946,0.46511627906976744,0.7407407407407407,0.5714285714285714,0.6461780929866037
_deprecated_house_votes_84,MLP,0.9655172413793104,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9966703662597115
_deprecated_hungarian,MLP,0.8305084745762712,0.9230769230769231,0.5714285714285714,0.7058823529411765,0.8596491228070176
_deprecated_vote,MLP,0.9080459770114943,0.825,0.9705882352941176,0.8918918918918919,0.9772475027746947
